Partido;Coalizao;Ano;flagCoalizao
PMR>PRB;Dilma II 1;2015;1
PMR>PRB;Dilma II 2;2015;1
PP;Itamar 1;1993;0
PP;Itamar 2;1993;1
PP;Itamar 3;1994;1
PP;FHC I 1;1995;0
PPB;Sarney 2;1989;0
PRONA;Itamar 1;1993;0
PRONA;FHC I 2;1997;0
PRONA;FHC I 2;1998;0
PRONA;FHC II 1;1999;0
PRONA;Lula I 1;2003;0
PRONA;Lula I 1;2004;0
PRONA;Lula I 2;2004;0
PRONA;Lula I 3;2005;0
PRONA;Lula I 5;2005;0
PRONA;Lula I 4;2005;0
PRONA;Lula I 5;2006;0
PROS;Dilma 3;2013;0
PROS;Dilma 3;2014;0
PROS;Dilma II 1;2015;1
PROS;Dilma II 2;2015;0
PRP;Collor 1;1990;0
PRP;Collor 4;1992;0
PRP;FHC I 1;1995;0
PRP;Lula I 5;2005;0
PRP;Dilma 1;2011;0
PRP;Dilma 1;2012;0
PRP;Dilma 2;2012;0
PRP;Dilma 2;2013;0
PRP;Dilma 3;2013;0
PRP;Dilma 3;2014;0
PRP;Dilma II 1;2015;0
PRP;Dilma II 2;2015;0
PRS;Collor 2;1990;0
PRS;Collor 1;1990;0
PRS;Collor 2;1991;0
PRS;Collor 3;1991;0
PRS;Collor 3;1992;0
PRS;Collor 4;1992;0
PRS;Itamar 1;1993;0
PRS;Itamar 2;1993;0
PRS;Itamar 3;1994;0
PRTB;Lula II 2;2007;0
PRTB;Lula II 2;2008;0
PRTB;Dilma 1;2011;0
PRTB;Dilma 2;2012;0
PRTB;Dilma 2;2013;0
PRTB;Dilma II 2;2015;0
PRTB;Dilma II 1;2015;0
PSB;Sarney 2;1989;0
PSB;Collor 1;1990;0
PSB;Collor 2;1990;0
PSB;Collor 2;1991;0
PSB;Collor 3;1991;0
PSB;Collor 3;1992;0
PSB;Collor 4;1992;0
PSB;Itamar 1;1993;1
PSB;Itamar 2;1993;0
PSB;Itamar 3;1994;0
PSB;FHC I 1;1995;0
PSB;FHC I 1;1996;0
PSB;FHC I 2;1996;0
PSB;FHC I 2;1997;0
PSB;FHC I 2;1998;0
PSB;FHC II 1;1999;0
PSB;FHC II 1;2000;0
PSB;FHC II 1;2001;0
PSB;FHC II 1;2002;0
PSB;FHC II 2;2002;0
PSB;Lula I 1;2003;1
PSB;Lula I 1;2004;1
PSB;Lula I 2;2004;1
PSB;Lula I 3;2005;1
PSB;Lula I 5;2005;1
PSB;Lula I 4;2005;1
PSB;Lula I 5;2006;1
PSB;Lula II 2;2007;1
PSB;Lula II 1;2007;1
PSB;Lula II 2;2008;1
PSB;Lula II 2;2009;1
PSB;Lula II 3;2009;1
PSB;Lula II 3;2010;1
PSB;Dilma 1;2011;1
PSB;Dilma 1;2012;1
PSB;Dilma 2;2012;1
PSB;Dilma 2;2013;1
PSB;Dilma 3;2013;0
PSB;Dilma 3;2014;0
PSB;Dilma II 2;2015;0
